"TOA5","CR1000X_Ryan's","CR1000X","39460","CR1000X.Std.08.01","CPU:Pyranometer Test.CR1X","42896","IPtest"
"TIMESTAMP","RECORD","Proto1_Avg","Proto2_Avg","Proto3_Avg","Proto4_Avg","Ref5_Avg","Ref6_Avg"
"TS","RN","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg"
"2024-11-13 15:11:00",0,0.9451605,0.9065061,0.9176488,0.9082392,0.892043,0.9206203
"2024-11-13 15:12:00",1,0.9580076,0.9199297,0.9302604,0.9222348,0.9044138,0.9324606
"2024-11-13 15:13:00",2,1.218421,1.178309,1.143138,1.191301,1.167644,1.134521
"2024-11-13 15:19:00",3,68.36231,67.27078,62.28761,68.12923,69.73567,66.60972
"2024-11-13 15:20:00",4,73.89648,72.15942,67.28399,72.9425,74.8306,72.13703
"2024-11-13 15:21:00",5,78.12775,76.32489,70.89126,77.14491,79.16233,76.13915
"2024-11-13 15:22:00",6,76.45928,74.73287,69.4098,75.53247,77.47892,74.56149
"2024-11-13 15:23:00",7,76.53274,74.83379,69.41994,75.63502,77.55383,74.58678
"2024-11-13 15:24:00",8,76.82729,75.1372,69.60707,75.93967,77.82221,74.80457
"2024-11-13 15:25:00",9,77.84545,76.1296,70.43999,76.97709,78.83105,75.67657
"2024-11-13 15:26:00",10,73.21352,71.67699,66.43614,72.44387,74.19786,71.29616
"2024-11-13 15:27:00",11,69.41066,67.97843,63.08008,68.70749,70.30998,67.60473
"2024-11-13 15:28:00",12,67.51063,66.14498,61.38615,66.84338,68.36373,65.73589
"2024-11-13 15:29:00",13,62.78688,61.5481,57.23173,62.18951,63.57776,61.22035
"2024-11-13 15:30:00",14,64.01049,62.73787,58.18749,63.41388,64.78989,62.30501
"2024-11-13 15:31:00",15,69.65226,68.21458,62.9367,68.99461,70.45211,67.54756
"2024-11-13 15:32:00",16,65.98319,64.61652,59.63862,65.35532,66.67407,63.96753
"2024-11-13 15:33:00",17,64.25465,62.93145,58.03745,63.65512,64.87103,62.2283
"2024-11-13 15:34:00",18,64.30807,62.97334,57.96248,63.72922,64.8845,62.1748
"2024-11-13 15:35:00",19,68.89408,67.46307,61.79909,68.25871,69.46339,66.37814
"2024-11-13 15:36:00",20,68.95541,67.54299,61.78621,68.34605,69.51232,66.3619
"2024-11-13 15:37:00",21,66.924,65.5734,59.93008,66.35688,67.46551,64.37989
"2024-11-13 15:38:00",22,69.72758,68.31034,62.19816,69.15247,70.26629,66.92417
"2024-11-13 15:39:00",23,73.73042,72.25673,65.54102,73.17677,74.3475,70.6566
"2024-11-13 15:40:00",24,73.9387,72.48054,65.62037,73.40677,74.56428,70.77454
"2024-11-13 15:41:00",25,74.46455,73.04525,65.99365,73.96255,75.16113,71.27536
"2024-11-13 15:42:00",26,74.31582,72.93143,65.81858,73.83184,75.00074,71.08387
"2024-11-13 15:43:00",27,74.34106,72.98494,65.72887,73.90562,75.04894,71.04623
"2024-11-13 15:44:00",28,71.79526,70.49627,63.51853,71.39926,72.48367,68.64954
"2024-11-13 15:45:00",29,72.92152,71.60722,64.42834,72.52855,73.56779,69.63544
"2024-11-13 15:46:00",30,66.09812,64.91167,58.53582,65.75531,66.65069,63.1619
"2024-11-13 15:48:00",31,0.2229957,0.2313489,0.2353109,0.2151401,0.2264087,0.2320538
"2024-11-13 15:49:00",32,0.2055476,0.2131521,0.2169514,0.197375,0.2096409,0.2136827
"2024-11-13 15:50:00",33,0.19972,0.2063355,0.2105497,0.1912321,0.2030103,0.2064252
"2024-11-13 15:51:00",34,0.2013713,0.2075157,0.2123213,0.192544,0.2043763,0.2074725
"2024-11-13 15:52:00",35,0.188211,0.1937269,0.1984756,0.179659,0.1906165,0.1933748
"2024-11-13 15:53:00",36,0.2009077,0.2065324,0.2117038,0.1918286,0.2037135,0.2065641
"2024-11-13 15:54:00",37,0.2008353,0.2062775,0.2116269,0.1916034,0.203572,0.2062733
"2024-11-13 15:55:00",38,0.1942632,0.1994049,0.2046674,0.1851427,0.1966836,0.1991758
"2024-11-13 15:56:00",39,0.1817419,0.1862895,0.1910432,0.1730363,0.1838436,0.1858706
"2024-11-13 15:57:00",40,4.438452,4.448349,4.39079,4.383949,4.073473,4.009502
"2024-11-13 15:58:00",41,5.857852,5.878407,5.793482,5.788449,5.372297,5.274537
"2024-11-13 15:59:00",42,0.302635,0.2932169,0.3665703,0.2579145,0.2396479,0.2854529
"2024-11-13 16:00:00",43,5.4108,5.49884,5.429785,5.311091,4.947008,4.933894
"2024-11-13 16:01:00",44,5.469129,5.603569,5.54438,5.36925,5.042408,4.996672
"2024-11-13 16:02:00",45,5.458525,5.592959,5.534321,5.358978,5.032047,4.986841
"2024-11-13 16:03:00",46,5.449863,5.582886,5.52422,5.34942,5.02416,4.978132
"2024-11-13 16:04:00",47,5.442573,5.574785,5.516715,5.341352,5.016365,4.970952
"2024-11-13 16:05:00",48,5.434855,5.565973,5.508556,5.333585,5.007985,4.962843
"2024-11-13 16:06:00",49,5.427536,5.557911,5.501918,5.32709,5.002237,4.956901
"2024-11-13 16:07:00",50,5.422574,5.552495,5.497383,5.322935,4.99765,4.952667
"2024-11-13 16:08:00",51,5.420618,5.550465,5.49534,5.319474,4.994213,4.950009
"2024-11-13 16:09:00",52,5.416746,5.545946,5.491348,5.315894,4.989867,4.945849
"2024-11-13 16:10:00",53,5.412968,5.542345,5.488845,5.313135,4.987289,4.94452
"2024-11-13 16:11:00",54,5.410801,5.539691,5.4863,5.309906,4.984236,4.941083
"2024-11-13 16:12:00",55,5.407665,5.536226,5.483793,5.307407,4.981085,4.938566
"2024-11-13 16:13:00",56,5.406963,5.534843,5.48222,5.303971,4.97814,4.935906
"2024-11-13 16:14:00",57,5.404074,5.532218,5.480107,5.303182,4.978087,4.93525
"2024-11-13 16:15:00",58,5.402599,5.529526,5.478418,5.300201,4.974627,4.933707
"2024-11-13 16:16:00",59,5.402503,5.530646,5.47915,5.301004,4.975816,4.933959
"2024-11-13 16:17:00",60,5.397522,5.524008,5.474035,5.294003,4.968291,4.929009
"2024-11-13 16:18:00",61,5.394068,5.520987,5.470856,5.291131,4.964966,4.925335
"2024-11-13 16:19:00",62,5.402155,5.519642,5.468887,5.292967,4.963206,4.931836
"2024-11-13 16:20:00",63,5.408848,5.516107,5.467205,5.292226,4.960268,4.938027
"2024-11-13 16:21:00",64,5.407358,5.514536,5.465746,5.291758,4.959874,4.937196
"2024-11-13 16:22:00",65,5.402362,5.50836,5.459118,5.285796,4.953829,4.931479
"2024-11-13 16:23:00",66,5.402107,5.508836,5.460171,5.285472,4.953754,4.932011
"2024-11-13 16:24:00",67,5.404285,5.511392,5.461618,5.286621,4.955957,4.933186
"2024-11-13 16:25:00",68,5.401947,5.509781,5.461159,5.28698,4.955812,4.931729
"2024-11-13 16:26:00",69,5.401984,5.509729,5.460818,5.286748,4.955852,4.93166
"2024-11-13 16:27:00",70,5.402613,5.120694,4.976426,5.058886,4.521745,4.518999
"2024-11-13 16:28:00",71,5.398003,5.503345,5.455599,5.271372,4.949976,4.923912
"2024-11-13 16:29:00",72,5.396873,5.502088,5.455044,5.270515,4.948914,4.92262
"2024-11-13 16:30:00",73,5.397409,5.503644,5.456711,5.272252,4.949903,4.923252
"2024-11-13 16:31:00",74,5.397234,5.503911,5.457028,5.272644,4.950451,4.923809
"2024-11-13 16:32:00",75,5.399436,5.504299,5.456716,5.272352,4.950785,4.924824
"2024-11-13 16:33:00",76,5.398532,5.50414,5.457399,5.273223,4.951304,4.924398
"2024-11-13 16:34:00",77,5.397382,5.503012,5.455842,5.270817,4.947985,4.92206
"2024-11-13 16:35:00",78,5.396717,5.501264,5.454704,5.270212,4.948083,4.92276
"2024-11-13 16:36:00",79,5.397917,5.502583,5.456156,5.271239,4.949375,4.923716
"2024-11-13 16:37:00",80,5.397463,5.502333,5.45497,5.27094,4.949808,4.923837
"2024-11-13 16:38:00",81,5.397295,5.501131,5.454146,5.270504,4.949627,4.924976
"2024-11-13 16:39:00",82,5.397364,5.502929,5.45552,5.270667,4.948547,4.922389
"2024-11-13 16:40:00",83,5.393635,5.498705,5.452124,5.267736,4.945841,4.919632
"2024-11-13 16:41:00",84,5.392087,5.496702,5.44946,5.265693,4.943156,4.917161
"2024-11-13 16:42:00",85,5.386148,5.491175,5.444166,5.260498,4.937624,4.911687
"2024-11-13 16:43:00",86,5.380169,5.484126,5.436997,5.254155,4.930519,4.906013
"2024-11-13 16:44:00",87,5.379526,5.483291,5.435649,5.253323,4.929511,4.905817
"2024-11-13 16:45:00",88,5.382505,5.485449,5.438172,5.256351,4.933054,4.908583
"2024-11-13 16:46:00",89,5.382608,5.486233,5.439327,5.256964,4.933466,4.908725
"2024-11-13 16:47:00",90,5.380896,5.484276,5.436861,5.255241,4.931283,4.906609
"2024-11-13 16:48:00",91,5.381456,5.484753,5.437869,5.256343,4.93229,4.907113
"2024-11-13 16:49:00",92,5.379375,5.482137,5.435217,5.254706,4.93018,4.905628
"2024-11-13 16:50:00",93,5.379076,5.482121,5.434752,5.253583,4.929429,4.904376
"2024-11-13 16:51:00",94,5.377766,5.480555,5.432907,5.251843,4.92782,4.903149
"2024-11-13 16:52:00",95,5.381492,5.451314,5.292746,5.253754,4.929138,4.909268
"2024-11-13 16:53:00",96,5.375018,5.47868,5.429905,5.249582,4.925205,4.901704
"2024-11-13 16:54:00",97,5.375683,5.479589,5.430082,5.249355,4.925467,4.900905
"2024-11-13 16:55:00",98,5.376264,5.479815,5.430072,5.250228,4.925856,4.901688
"2024-11-13 16:56:00",99,5.377862,5.480535,5.432013,5.250892,4.927975,4.902578
"2024-11-13 16:57:00",100,5.376851,5.481272,5.431604,5.251767,4.928051,4.903418
"2024-11-13 16:58:00",101,5.379423,5.482615,5.433917,5.253408,4.929554,4.904876
"2024-11-13 16:59:00",102,5.379726,5.483223,5.434027,5.253238,4.930009,4.906259
"2024-11-13 17:00:00",103,5.378956,5.482676,5.433906,5.254397,4.931072,4.906378
"2024-11-13 17:01:00",104,5.37992,5.483981,5.434403,5.254217,4.930849,4.906291
"2024-11-13 17:02:00",105,5.369781,5.471853,5.422491,5.245075,4.919948,4.894981
"2024-11-13 17:03:00",106,5.368656,5.472851,5.424317,5.243535,4.919653,4.897083
"2024-11-13 17:04:00",107,5.374416,5.479309,5.430787,5.248297,4.926045,4.901507
"2024-11-13 17:05:00",108,5.375725,5.480859,5.431976,5.248565,4.926748,4.901394
"2024-11-13 17:06:00",109,5.373898,5.478987,5.43045,5.247094,4.925439,4.900525
"2024-11-13 17:07:00",110,5.373375,5.477945,5.429389,5.247045,4.924694,4.900157
"2024-11-13 17:08:00",111,5.372581,5.478173,5.429384,5.247109,4.925018,4.900157
"2024-11-13 17:09:00",112,5.373055,5.478389,5.430208,5.246976,4.92443,4.900079
"2024-11-13 17:10:00",113,5.372038,5.476839,5.429738,5.245691,4.923206,4.900103
"2024-11-13 17:11:00",114,5.374241,5.480146,5.431932,5.248181,4.926002,4.901786
"2024-11-13 17:12:00",115,5.372728,5.477701,5.429605,5.24614,4.924174,4.899507
"2024-11-13 17:13:00",116,5.370171,5.474117,5.427616,5.244758,4.922143,4.898397
"2024-11-13 17:14:00",117,5.36849,5.473065,5.424789,5.24376,4.919918,4.896526
"2024-11-13 17:15:00",118,5.367477,5.472393,5.424455,5.242116,4.919833,4.895259
"2024-11-13 17:16:00",119,5.368298,5.474161,5.425725,5.243216,4.920518,4.897001
"2024-11-13 17:17:00",120,5.366993,5.47181,5.423136,5.241582,4.917993,4.894318
"2024-11-13 17:18:00",121,5.371686,5.476521,5.435555,5.244024,4.92014,4.900706
"2024-11-13 17:19:00",122,5.370016,5.473797,5.425929,5.242957,4.919855,4.897465
"2024-11-13 17:20:00",123,5.36972,5.476772,5.432915,5.242961,4.920224,4.89638
"2024-11-13 17:21:00",124,5.366161,5.469661,5.422121,5.239345,4.916168,4.89404
"2024-11-13 17:22:00",125,5.363972,5.466888,5.418906,5.237618,4.913487,4.891901
"2024-11-13 17:23:00",126,5.364991,5.468275,5.420193,5.23759,4.913735,4.892362
"2024-11-13 17:24:00",127,5.364601,5.46801,5.420382,5.237464,4.913846,4.89236
"2024-11-13 17:25:00",128,5.365269,5.467958,5.420493,5.238409,4.914809,4.893351
"2024-11-13 17:26:00",129,5.364817,5.468331,5.421003,5.240211,4.915603,4.893567
"2024-11-13 17:27:00",130,5.3674,5.470139,5.421819,5.240294,4.916422,4.894177
"2024-11-13 17:28:00",131,5.367397,5.470554,5.422278,5.242163,4.918003,4.895714
"2024-11-13 17:29:00",132,5.366332,5.469775,5.422286,5.241719,4.917816,4.895678
"2024-11-13 17:30:00",133,5.367689,5.470948,5.422453,5.241414,4.917882,4.895231
"2024-11-13 17:31:00",134,5.367544,5.47066,5.42252,5.241588,4.917643,4.894963
"2024-11-13 17:32:00",135,5.367714,5.47132,5.423162,5.242473,4.918382,4.895829
"2024-11-13 17:33:00",136,5.367515,5.470581,5.422643,5.24199,4.918044,4.895749
"2024-11-13 17:34:00",137,5.364488,5.467504,5.419367,5.238882,4.915684,4.892825
"2024-11-13 17:35:00",138,5.361727,5.46446,5.416527,5.236382,4.911921,4.889454
"2024-11-13 17:36:00",139,5.360659,5.464373,5.415735,5.235494,4.911131,4.889114
"2024-11-13 17:37:00",140,5.358971,5.46264,5.413703,5.234089,4.9095,4.8873
"2024-11-13 17:38:00",141,5.356767,5.459638,5.410856,5.231787,4.906498,4.884464
"2024-11-13 17:39:00",142,5.354664,5.457907,5.409561,5.229832,4.904787,4.883045
"2024-11-13 17:40:00",143,5.353779,5.456494,5.407818,5.227995,4.903481,4.881186
"2024-11-13 17:41:00",144,5.352228,5.454895,5.40594,5.227203,4.901797,4.879888
"2024-11-13 17:42:00",145,5.351397,5.45394,5.404797,5.226021,4.900291,4.878477
"2024-11-13 17:43:00",146,5.350452,5.453261,5.404233,5.226112,4.90049,4.878828
"2024-11-13 17:44:00",147,5.34988,5.452985,5.403713,5.225563,4.899744,4.877902
"2024-11-13 17:45:00",148,1.712945,1.751702,1.717828,1.690235,1.595675,1.543785
"2024-11-13 17:47:00",149,0.2837389,0.2880505,0.2943428,0.2792008,0.2659601,0.267293
"2024-11-13 17:48:00",150,0.2812206,0.285591,0.2912199,0.2771456,0.2637033,0.2644488
"2024-11-13 17:49:00",151,0.2798451,0.2840449,0.2894177,0.2758438,0.2622076,0.2624605
"2024-11-13 17:50:00",152,0.2823016,0.2867767,0.2925982,0.2781652,0.2642849,0.2651266
"2024-11-13 17:51:00",153,0.2800848,0.2842489,0.2898993,0.2759946,0.2616241,0.262886
"2024-11-15 10:14:00",154,30.47044,29.95881,29.3826,30.04027,31.21558,31.20862
"2024-11-15 10:15:00",155,33.85361,33.17041,32.08802,33.28054,34.4497,34.24387
"2024-11-15 10:16:00",156,35.38932,34.61563,33.24181,34.75153,35.91338,35.5871
"2024-11-15 10:17:00",157,34.46415,33.71763,32.39196,33.85477,35.00348,34.66392
"2024-11-15 10:18:00",158,33.738,33.02318,31.71582,33.15586,34.28448,33.93904
"2024-11-15 10:19:00",159,32.30977,31.643,30.43933,31.77226,32.84527,32.54338
"2024-11-15 10:20:00",160,27.57657,27.11218,26.46565,27.17852,28.1951,28.13023
"2024-11-15 10:21:00",161,28.01101,27.54856,26.75562,27.63012,28.61909,28.46063
"2024-11-15 10:22:00",162,24.26453,23.94956,23.59543,23.988,24.91237,24.95888
"2024-11-15 10:23:00",163,22.39814,22.16662,21.99682,22.18889,23.06503,23.18416
"2024-11-15 10:24:00",164,21.65975,21.4662,21.34409,21.48924,22.32967,22.45772
"2024-11-15 10:25:00",165,21.55353,21.37628,21.2359,21.40639,22.22259,22.32904
"2024-11-15 10:26:00",166,21.82646,21.64943,21.4591,21.68412,22.49252,22.56363
"2024-11-15 10:27:00",167,22.84704,22.64109,22.29528,22.69131,23.50069,23.48697
"2024-11-15 10:28:00",168,22.68964,22.48821,22.12782,22.54082,23.33201,23.30465
"2024-11-15 10:29:00",169,22.98514,22.77659,22.32918,22.84041,23.62379,23.54988
"2024-11-15 10:30:00",170,26.87399,26.5619,25.56301,26.68168,27.51237,27.15128
"2024-11-15 10:31:00",171,37.02615,36.44197,34.16177,36.68964,37.69515,36.6586
"2024-11-15 10:32:00",172,42.36235,41.64529,38.81843,41.93897,43.09325,41.77771
"2024-11-15 10:33:00",173,51.12869,50.1632,46.34062,50.53315,51.89727,50.07919
"2024-11-15 10:34:00",174,56.16139,55.08519,50.67569,55.48785,57.01829,54.88866
"2024-11-15 10:35:00",175,47.94543,47.05276,43.71184,47.33765,48.72458,47.15919
"2024-11-15 10:36:00",176,48.59393,47.68315,44.25772,47.98456,49.36411,47.7552
"2024-11-15 10:37:00",177,41.0358,40.27832,37.82373,40.50798,41.73653,40.62383
"2024-11-15 10:38:00",178,50.46012,49.51226,45.80111,49.8633,51.2233,49.45607
"2024-11-15 10:39:00",179,49.88092,48.97695,45.32856,49.31566,50.66159,48.91924
"2024-11-15 10:40:00",180,48.15165,47.34595,43.91916,47.66013,48.97451,47.30799
"2024-11-15 10:41:00",181,32.52916,32.07554,30.70212,32.22741,33.22556,32.69642
"2024-11-15 10:42:00",182,28.49898,28.18898,27.41968,28.28476,29.23969,29.02584
"2024-11-15 10:43:00",183,28.28075,28.0084,27.36679,28.08893,29.07054,28.92402
