 "x",  "y",  "u",  "v",  "sigma",  "x_c",  "y_c",  "u_c",  "v_c",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma"
216,607,1.08836,85.0267,0.0594917,-21,316,1.08836,-85.0267,0.0177797,0.00866027,-0.00315563,0.0187651,0.0076748,-0.302692
225,607,1.42886,85.5073,0.0498919,-12,316,1.42886,-85.5073,0.0155743,0.00797851,-0.00264984,0.0164074,0.00714546,-0.304594
234,607,1.83644,85.9682,0.0401371,-3,316,1.83644,-85.9683,0.0139039,0.00741949,-0.00216204,0.0145586,0.00676474,-0.294062
243,607,1.72153,85.8648,0.0328466,6,316,1.72153,-85.8647,0.0128049,0.0070271,-0.00175779,0.0132977,0.00653435,-0.273309
252,607,1.88662,85.7843,0.0294466,15,316,1.88663,-85.7842,0.0119015,0.00668445,-0.0013595,0.0122345,0.00635144,-0.240221
261,607,1.89884,85.7582,0.0274198,24,316,1.89883,-85.7582,0.0112181,0.00639463,-0.000971288,0.0114063,0.00620639,-0.191431
270,607,1.927,85.7774,0.0246544,33,316,1.927,-85.7773,0.0107522,0.00615839,-0.000596881,0.0108285,0.00608211,-0.12712
279,607,1.95528,85.7883,0.0229498,42,316,1.95529,-85.7883,0.0105013,0.00597602,-0.000239794,0.010514,0.00596335,-0.0527926
288,607,2.05212,85.7493,0.0238339,51,316,2.05212,-85.7493,0.0104631,0.00584733,9.67354e-05,0.0104651,0.00584531,0.0209453
297,607,2.17853,85.683,0.0252533,60,316,2.17853,-85.6829,0.0106354,0.00577163,0.00040982,0.0106697,0.00573734,0.0834761
306,607,2.31081,85.6197,0.0280578,69,316,2.31079,-85.6197,0.0113178,0.00574545,0.000732728,0.0114126,0.00565071,0.128582
315,607,2.35878,85.6351,0.0301073,78,316,2.3588,-85.6351,0.0123821,0.00578025,0.00104462,0.0125435,0.0056189,0.153245
324,607,2.30779,85.6366,0.0374064,87,316,2.3078,-85.6366,0.0139517,0.00597029,0.00128082,0.0141522,0.00576979,0.155282
216,616,1.44825,85.6055,0.0426947,-21,307,1.44826,-85.6055,0.0179798,0.0072402,-0.00248128,0.0185254,0.00669464,-0.216427
225,616,1.70579,85.8055,0.0384893,-12,307,1.7058,-85.8055,0.0157638,0.00676161,-0.00209025,0.0162255,0.00629995,-0.217377
234,616,1.80886,85.9236,0.0328276,-3,307,1.80885,-85.9236,0.0140241,0.00633221,-0.00170191,0.0143838,0.00597247,-0.208309
243,616,1.8863,86.0089,0.0305677,6,307,1.88629,-86.009,0.0128554,0.00604499,-0.00137892,0.013124,0.00577639,-0.192382
252,616,1.95259,85.967,0.0311221,15,307,1.95259,-85.967,0.0118898,0.00580037,-0.00106074,0.0120693,0.00562088,-0.167619
261,616,1.95118,85.9333,0.0293964,24,307,1.95117,-85.9333,0.0111423,0.00560105,-0.000750657,0.0112422,0.00550116,-0.132291
270,616,1.95447,85.8413,0.0257284,33,307,1.95447,-85.8413,0.0106109,0.00544787,-0.000451827,0.0106502,0.00540863,-0.0866339
279,616,1.96898,85.8214,0.021983,42,307,1.96899,-85.8214,0.0102938,0.00534126,-0.000167229,0.0102994,0.00533562,-0.033715
288,616,2.11116,85.7438,0.0226929,51,307,2.11118,-85.7438,0.0101891,0.00528117,0.000100393,0.0101911,0.00527912,0.020444
297,616,2.26269,85.6458,0.0228781,60,307,2.2627,-85.6458,0.0102951,0.00526713,0.00034858,0.0103191,0.00524308,0.0688895
306,616,2.24544,85.671,0.0241662,69,307,2.24545,-85.671,0.0108789,0.00529419,0.000607085,0.0109441,0.00522896,0.10704
315,616,2.18785,85.7371,0.0259397,78,307,2.18784,-85.7371,0.0118779,0.00538909,0.00084903,0.0119871,0.00527983,0.127976
324,616,2.34658,85.7762,0.0275375,87,307,2.34659,-85.7762,0.0133861,0.00562059,0.00102481,0.013519,0.00548762,0.129027
