 "x",  "y",  "u",  "v",  "sigma",  "x_c",  "y_c",  "u_c",  "v_c",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma"
225,607,-0.769885,97.7315,0.0507316,-12,316,-0.769882,-97.7315,0.0291582,0.0180119,0.00144582,0.0293427,0.0178274,0.126915
234,607,-0.315259,98.0602,0.0399676,-3,316,-0.315262,-98.0602,0.025156,0.0169859,0.00139817,0.0253887,0.0167532,0.164882
243,607,-0.111342,98.3111,0.0324755,6,316,-0.111343,-98.3112,0.0220866,0.0160436,0.00145488,0.0224186,0.0157116,0.224374
252,607,-0.0930104,97.9893,0.0271563,15,316,-0.0930176,-97.9893,0.019308,0.0150818,0.00153945,0.0198093,0.0145805,0.314811
261,607,-0.139967,97.9897,0.0249681,24,316,-0.139954,-97.9897,0.0168539,0.0140894,0.00164397,0.0176195,0.0133238,0.435834
270,607,-0.139383,97.9688,0.0213407,33,316,-0.139374,-97.9688,0.0147244,0.0130668,0.00176629,0.0158466,0.0119445,0.566041
279,607,-0.106497,97.9715,0.0180329,42,316,-0.106506,-97.9715,0.012919,0.012015,0.00190425,0.0144242,0.0105099,0.668866
288,607,-0.0462711,97.9671,0.0168725,51,316,-0.0462646,-97.967,0.0114376,0.0109349,0.0020556,0.0132572,0.00911533,0.724564
297,607,0.0299745,97.9614,0.0174943,60,316,0.0299683,-97.9614,0.0102795,0.0098276,0.00221792,0.012283,0.00782417,0.734631
306,607,0.0872517,97.9612,0.0200551,69,316,0.0872498,-97.9612,0.00972789,0.00853123,0.00234271,0.0115475,0.00671165,0.660371
315,607,0.148792,97.9616,0.0219165,78,316,0.148804,-97.9616,0.00978571,0.00717629,0.002469,0.0112735,0.00568847,0.54233
324,607,0.178355,97.9728,0.027749,87,316,0.178345,-97.9728,0.0106455,0.00576362,0.00260565,0.0117749,0.00463418,0.409012
216,616,-1.2989,97.9283,0.0453176,-21,307,-1.29889,-97.9283,0.0337882,0.0204442,0.000941947,0.0338544,0.020378,0.0701257
225,616,-0.618044,97.9698,0.0390474,-12,307,-0.618042,-97.9698,0.0290843,0.0196048,0.000957514,0.02918,0.0195091,0.0996683
234,616,-0.247389,98.0787,0.0335956,-3,307,-0.247391,-98.0787,0.0251476,0.0187013,0.00103957,0.0253111,0.0185378,0.155999
243,616,-0.084784,98.1019,0.0312147,6,307,-0.0847778,-98.1019,0.0220936,0.0178834,0.00120669,0.0224149,0.017562,0.260248
252,616,-0.0618125,98.0852,0.0317926,15,307,-0.0618134,-98.0852,0.0193308,0.0170503,0.00139953,0.0199957,0.0163853,0.443568
261,616,-0.100098,98.0531,0.0299092,24,307,-0.100098,-98.0531,0.0168825,0.0161925,0.00161135,0.0181854,0.0148896,0.67995
